bornIn,tmdbId,born,name,bio,died,poster,n.url
"""Asan, Chungcheongnam-do, South Korea""","""94053""","""1957-08-20""","""Myung-se Lee""",null,null,null,"""https://themoviedb.org/person/94053"""
null,"""5066""","""1962-02-23""","""Olivier Ducastel""",null,null,"""https://image.tmdb.org/t/p/w440_and_h660_face/aHL0qEasSybjiIVri6WEVctBMra.jpg""","""https://themoviedb.org/person/5066"""
null,"""5067""",null,""" Jacques Martineau""",null,null,"""https://image.tmdb.org/t/p/w440_and_h660_face/5WSELi82AoBHP8hMZsskVjg68Pc.jpg""","""https://themoviedb.org/person/5067"""
null,"""71418""",null,"""Demian Lichtenstein""",null,null,null,"""https://themoviedb.org/person/71418"""
null,"""16957""",null,"""Fenton Bailey""",null,null,null,"""https://themoviedb.org/person/16957"""
null,"""16958""",null,""" Randy Barbato""",null,null,null,"""https://themoviedb.org/person/16958"""
""" San Francisco, California, USA""","""84211""","""1964-01-01""","""Valerie Breiman""",null,null,null,"""https://themoviedb.org/person/84211"""
"""Prague, Czechia""","""135678""","""1967-06-27""","""Jan Hrebejk""",null,null,null,"""https://themoviedb.org/person/135678"""
"""Philadelphia, Pennsylvania, USA""","""53178""","""1955-10-06""","""Michael Tollin""","""Michael \""Mike\"" Tollin (born June 10, 1955) is an American film director and film/television producer.  His career highlights included Radio, Coach Carter, and Varsity Blues.  He frequently collaborates with Brian Robbins in which they own a production company together called Tollin/Robbins Productions.  They created and produced such shows like All That, The Amanda Show, Kenan & Kel, One Tree Hill, Smallville, What I Like About You, The Bronx is Burning and a few others...""",null,null,"""https://themoviedb.org/person/53178"""
null,"""99593""",null,"""Jenniphr Goodman""","""From Wikipedia, the free encyclopedia. 

Jenniphr Goodman is a film director best known for directing and co-writing the 2000 film The Tao of Steve.  She received her B. A.  in creative writing and film making in 1984 through Pitzer College.  She is also a graduate of New York University's film school at the Tisch School of the Arts. 

Description above from the Wikipedia article Jenniphr Goodman, licensed under CC-BY-SA, full list of contributors on Wikipedia...""",null,null,"""https://themoviedb.org/person/99593"""
null,"""58037""",null,""" Ben Ramsey""",null,null,null,"""https://themoviedb.org/person/58037"""
null,"""58677""",null,"""Norio Tsuruta""",null,null,null,"""https://themoviedb.org/person/58677"""
null,"""1179593""",null,"""Aiyana Elliott""",null,null,null,"""https://themoviedb.org/person/1179593"""
"""Frederiksværk, Denmark""","""1012""","""1972-04-06""","""Anders Thomas Jensen""","""​From Wikipedia, the free encyclopedia Anders Thomas Jensen (born 6 April 1972 in Frederiksværk) is a Danish screenwriter and film director.  Jensen won the Oscar for his 1998 film Election Night.  He also received Oscar nominations in the live-action short category for his films Ernst &amp; The Light (1996) and Wolfgang (1997)...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/dcV0ZkjU4fIpAr0ehG3LY7dESFi.jpg""","""https://themoviedb.org/person/1012"""
null,"""1006172""",null,"""Deborah Hoffmann""",null,null,null,"""https://themoviedb.org/person/1006172"""
"""Antibes, France""","""8296""","""1960-03-11""","""Christophe Gans""","""Christophe Gans is a French film director, producer and screenwriter, who specializes in horror and fantasy movies.   

Gans was born in Antibes, France.  As a teenager, he spent a large portion of his time creating kung fu-themed Super 8 movies with his friends.  He later went on to attend the French film school Idhec, where he created his first short film, Silver Slime.  He later spent time as a film critic before co-directing his first film, Necronomicon...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/x4ILnMIY8hYXFpJj5d4M2VTQeFb.jpg""","""https://themoviedb.org/person/8296"""
"""Milan, Italy""","""7554""","""1958-08-01""","""Silvio Soldini""","""Silvio Soldini was born in 1958 in Milan where he lives and works.  Writer and director, well known for his very successful film BREAD AND TULIPS, winner in 2000 of the David di Donatello and of the Nastri d’Argento.  In 2002, with BURNING IN THE WIND he won the David di Donatello.  In 2007, Margherita Buy whom played in his DAYS IN CLOUDS received the David di Donatello for the best actress...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/gCB9xiKmTcEDrLn8bwjeFINSu1Q.jpg""","""https://themoviedb.org/person/7554"""
"""Reykjavik, Iceland""","""67813""","""1966-02-27""","""Baltasar Kormákur""","""Baltasar Kormákur is an Icelandic actor, theater and film director, and film producer.  He is best known for directing the films 101 Reykjavík, Hafið, A Little Trip to Heaven (starring Julia Stiles and Forest Whitaker), and a film based on the book Mýrin (Jar City) by Arnaldur Indriðason.  His father is the Spanish painter Baltasar Samper...""",null,null,"""https://themoviedb.org/person/67813"""
null,"""13927""",null,"""Kurt Wimmer""","""From Wikipedia, the free encyclopedia. 

Kurt Wimmer (born 1964) is an American screenwriter and film director. 

Wimmer is of German descent, he attended the University of South Florida and graduated with a BFA degree in Art History.  He then moved to Los Angeles where he worked for 12 years as a screenwriter before making his 2002 film, Equilibrium.  Although he is credited as the director of the 1995 film One Tough Bastard (a. k. a...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/w6yuLCfWRWXcFfAcTAmVV3xceHC.jpg""","""https://themoviedb.org/person/13927"""
null,"""7409""",null,"""J.B. Rogers""",null,null,"""https://image.tmdb.org/t/p/w440_and_h660_face/3XO63aCsKGwKpXB9aeyPquWmSWi.jpg""","""https://themoviedb.org/person/7409"""
null,"""113641""",null,"""Dewey Nicks""",null,null,null,"""https://themoviedb.org/person/113641"""
null,"""1039158""",null,"""Josh Aronson""",null,null,null,"""https://themoviedb.org/person/1039158"""
"""Rio de Janeiro, Rio de Janeiro, Brazil""","""933161""","""1960-07-28""","""Luiz Fernando Carvalho""",null,null,"""https://image.tmdb.org/t/p/w440_and_h660_face/ppxHaN61RAGxYbspmlnjUNyO842.jpg""","""https://themoviedb.org/person/933161"""
"""New York City - New York - USA""","""84931""","""1963-07-08""","""Michael Cuesta""","""Michael Cuesta is an American film and television director.  He received a BFA in photography from the School of Visual Arts in 1985...""",null,null,"""https://themoviedb.org/person/84931"""
null,"""586015""",null,"""Laurent Firode""",null,null,null,"""https://themoviedb.org/person/586015"""
"""Chamberburg, Pennsylvania, USA""","""21475""","""1961-07-27""","""John Putch""","""​From Wikipedia, the free encyclopedia.   

John Putch (born July 27, 1961) is an American actor, director and screenwriter.  He is best known for his recurring role as Bob Morton on the 1980s sitcom One Day at a Time and as Sean Brody in the film Jaws 3-D. 

Description above from the Wikipedia article John Putch, licensed under CC-BY-SA, full list of contributors on Wikipedia...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/jpOkJGMk07jkrQWZ6ep4uy4wQLs.jpg""","""https://themoviedb.org/person/21475"""
null,"""133635""","""1971-02-24""","""David L. Cunningham""","""From Wikipedia, the free encyclopedia. 

Born in Switzerland (February 24, 1971) and raised in Kailua-Kona, Hawai'i, David Loren Cunningham is an international filmmaker.  Besides his documentary credits in more than 40 countries, Cunningham has also directed several feature films including To End All Wars (2001) and the TV miniseries The Path to 9/11 (2006).  Cunningham is represented by the United Talent Agency...""",null,null,"""https://themoviedb.org/person/133635"""
"""Shaker Heights, Ohio, USA""","""22214""","""1969-08-01""","""David Wain""","""David Benjamin Wain (born August 1, 1969) is an American comedian, writer, actor and director.  He is most widely known for the feature films Role Models and Wet Hot American Summer, the 1990s' sketch comedy series The State and for directing the Adult Swim series Childrens Hospital.  Wain was a founding member of Stella, along with Michael Showalter and Michael Ian Black...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/kdgFfZq8virxDE8FB9l54yoWptr.jpg""","""https://themoviedb.org/person/22214"""
null,"""119493""","""1964-07-13""","""Shinji Aoyama""",null,null,"""https://image.tmdb.org/t/p/w440_and_h660_face/tQ4TtCpKAYfbv3InbdW66PTI6Hr.jpg""","""https://themoviedb.org/person/119493"""
""" Shanghai, China""","""143035""","""1947-11-06""","""Edward Yang""","""Edward Yang (Chinese: 楊德昌; pinyin: Yáng Déchāng; November 6, 1947 – June 29, 2007) was a Taiwanese filmmaker.  Yang, along with fellow auteurs Hou Hsiao-hsien and Tsai Ming-liang, was one of the leading film-makers of the Taiwanese New Wave and Taiwanese Cinema...""","""2007-06-29""","""https://image.tmdb.org/t/p/w440_and_h660_face/ziiIOHdtINX32KeVDHXnrGh0Nx4.jpg""","""https://themoviedb.org/person/143035"""
null,"""82335""",null,"""Richard Glatzer""",null,null,null,"""https://themoviedb.org/person/82335"""
null,"""92935""",null,"""Don Kempf""",null,null,null,"""https://themoviedb.org/person/92935"""
null,"""52159""",null,""" James D. Stern""","""​From Wikipedia, the free encyclopedia.   

James D.  Stern is an American film director and producer, and Broadway producer, and a member of the Producers Guild of America.  He won a 2003 Tony Award for \""Hairspray,\"" has been nominated for many Tony awards, and was a Drama Desk Award Winner for \""Stomp. \""

Description above from the Wikipedia article James D.  Stern , licensed under CC-BY-SA, full list of contributors on Wikipedia...""",null,null,"""https://themoviedb.org/person/52159"""
null,"""1573677""",null,"""Eric Hannah""",null,null,null,"""https://themoviedb.org/person/1573677"""
"""Boston, Massachusetts, USA""","""117350""","""1968-08-28""","""Dale Resteghini""","""From Wikipedia, the free encyclopedia. 

Dale Anthony Resteghini (born Boston, Massachusetts on 28 August 1968) better known as Rage is a renowned music video director.  He is also a film director and music producer.  Rage has helmed hundreds of videos for well-known acts from the global superstars to the emerging acts to the niche branded and as alover of music he embraces all of them and sees each venture as a challenge and an experience...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/dEaxVnJpQ4sEOBDFCRUMfeAe6AJ.jpg""","""https://themoviedb.org/person/117350"""
"""United States""","""74881""",null,"""Rocco Urbisci""","""From Wikipedia, the free encyclopedia

Rocco Urbisci is an American director, producer and film and television writer. 

Urbisci is best known for writing such films and television shows as Richard Pryor's Jo Jo Dancer, Your Life Is Calling, The Richard Pryor Show and the made for television sequel to The Jerk entitled The Jerk, Too with Mark Blankfield replacing Steve Martin in the lead...""",null,null,"""https://themoviedb.org/person/74881"""
"""Port-Au-Prince, Haiti""","""40312""","""1953-09-09""","""Raoul Peck""","""Raoul Peck (born 1953) is a Haitian filmmaker, of both documentary and feature films, and a political activist.  From March 1996 to September 1997, he was Haiti's Minister of Culture...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/6i2uGJwj2oNXLEj2FUOmg8sw1ME.jpg""","""https://themoviedb.org/person/40312"""
"""Hamburg, Germany""","""18903""","""1966-04-04""","""Sandra Nettelbeck""",null,null,null,"""https://themoviedb.org/person/18903"""
"""Kula, Hawaii, USA""","""50942""","""1961-05-19""","""Gregory Poirier""","""From Wikipedia, the free encyclopedia

Gregory Stephen Poirier (born 19 May 1961) is an American screenwriter, director, and producer. 

Poirier was born in Kula, Maui, Hawaii.  He attended the Maui Academy of Performing Arts.  Poirier wrote the screenplay for the John Singleton film Rosewood (1997), for which he won the Writers Guild of America's Paul Selvin Award.  He also wrote the screenplay for the comedy See Spot Run, and wrote and directed the comedy Tomcats (2001)...""",null,null,"""https://themoviedb.org/person/50942"""
"""Philadelphia, Pennsylvania, USA""","""30458""","""1945-08-03""","""Henry Bean""","""From Wikipedia, the free encyclopedia. 

Henry Bean (born 1945, Philadelphia, United States) is an American screenwriter, film director, producer, novelist, and actor. 

Most famous as a screenwriter, Bean wrote the screenplays for Internal Affairs, Deep Cover, Venus Rising, The Believer (which was awarded the dramatic Grand Jury Prize at the 2001 Sundance Festival), Basic Instinct 2 and Noise. 

Bean acted in The Believer, and was a producer on Deep Cover and Noise...""",null,null,"""https://themoviedb.org/person/30458"""
